hccis_id,rpt_year,code,value,owner_hccis_id
1,2019,4531,1,1
1,2019,4530,12,1
1,2019,4520,0.87,1
1,2019,4508,,1
1,2019,4506,,1
1,2019,4505,157,1
1,2019,4504,20,1
1,2019,4503,790,1
1,2019,4502,5397,1
1,2019,4501,6344,1
1,2019,4389,28,1
1,2019,4386,,1
1,2019,4383,9,1
1,2019,4380,199,1
1,2019,4379,12,1
1,2019,4376,,1
1,2019,4373,4,1
1,2019,4370,62,1
1,2019,4369,8,1
1,2019,4367,,1
1,2019,4366,5,1
1,2019,4365,1,1
1,2019,4364,2,1
1,2019,4363,,1
1,2019,4360,407,1
1,2019,4357,,1
1,2019,4356,5,1
1,2019,4355,,1
1,2019,4353,,1
1,2019,4352,3,1
1,2019,4351,3.09,1
1,2019,4344,1,1
1,2019,4342,2,1
1,2019,4341,47,1
1,2019,4340,80,1
1,2019,4339,25,1
1,2019,4337,1,1
1,2019,4336,1,1
1,2019,4335,19,1
1,2019,4334,,1
1,2019,4333,4,1
1,2019,4331,,1
1,2019,4329,,1
1,2019,4327,8,1
1,2019,4326,1,1
1,2019,4324,24,1
1,2019,4323,14,1
1,2019,4322,9,1
1,2019,4320,80,1
1,2019,4309,,1
1,2019,4307,,1
1,2019,4304,,1
1,2019,4060,1258,1
1,2019,4044,,1
1,2019,4041,,1
1,2019,4037,25,1
1,2019,4035,,1
1,2019,4034,317,1
1,2019,4033,317,1
1,2019,7523,,1
1,2019,7524,,1
1,2019,7525,,1
1,2019,7526,,1
1,2019,7527,,1
1,2019,7528,,1
1,2019,7529,8,1
1,2019,7530,,1
1,2019,7531,55,1
1,2019,7532,,1
1,2019,4030,247,1
1,2019,4026,10,1
1,2019,4025,155,1
1,2019,4022,5,1
1,2019,4020,247,1
1,2019,4017,,1
1,2019,4014,,1
1,2019,4011,,1
1,2019,2198,,1
1,2019,2194,,1
1,2019,2192,2,1
1,2019,2188,2.28,1
1,2019,2185,,1
1,2019,2182,2,1
1,2019,2178,161503,1
1,2019,2177,0.09,1
1,2019,2176,,1
1,2019,2175,,1
1,2019,2173,,1
1,2019,2172,,1
1,2019,2171,,1
1,2019,2168,,1
1,2019,2167,9,1
1,2019,2166,,1
1,2019,2165,5,1
1,2019,2163,,1
1,2019,6180,2,1
1,2019,6190,2,1
1,2019,6200,2,1
1,2019,6202,,1
1,2019,6203,,1
1,2019,6210,1,1
1,2019,6240,2,1
1,2019,6250,1,1
1,2019,6254,,1
1,2019,6256,1,1
1,2019,6258,157,1
1,2019,6260,2,1
1,2019,6264,,1
1,2019,6270,2,1
1,2019,6271,,1
1,2019,6272,,1
1,2019,6273,,1
1,2019,6274,,1
1,2019,6275,,1
1,2019,6280,2,1
1,2019,6290,2,1
1,2019,6300,3,1
1,2019,6310,3,1
1,2019,6320,3,1
1,2019,6330,1,1
1,2019,6334,37,1
1,2019,6340,1,1
1,2019,6350,3,1
1,2019,6351,506,1
1,2019,6360,1,1
1,2019,7000,1,1
1,2019,7044,43,1
1,2019,7047,0,1
1,2019,7049,15,1
1,2019,7050,,1
1,2019,7051,,1
1,2019,7052,,1
1,2019,7053,,1
1,2019,7054,76,1
1,2019,7055,56854,1
1,2019,7056,76,1
1,2019,7057,56854,1
1,2019,7058,8,1
1,2019,7059,0,1
1,2019,7061,108558,1
1,2019,7062,58219,1
1,2019,7063,9553,1
1,2019,7064,-45087,1
1,2019,7065,-29145,1
1,2019,7066,-4867,1
1,2019,7068,,1
1,2019,7069,,1
1,2019,7070,,1
1,2019,7071,,1
1,2019,7072,,1
1,2019,7073,,1
1,2019,7075,,1
1,2019,7076,,1
1,2019,7077,,1
1,2019,7078,,1
1,2019,7079,,1
1,2019,7080,,1
1,2019,7082,20,1
1,2019,7085,,1
1,2019,7086,,1
1,2019,7087,614920,1
1,2019,7088,37915,1
1,2019,7089,9658898,1
1,2019,7090,10814298,1
1,2019,7091,,1
1,2019,7092,,1
1,2019,7094,357046,1
1,2019,7095,108558,1
1,2019,7096,,1
1,2019,7097,465604,1
1,2019,7098,-2903303,1
1,2019,7099,-125001,1
1,2019,7100,-484879,1
1,2019,7101,-20876,1
1,2019,7102,-54507,1
1,2019,7103,-2347,1
1,2019,7104,5799606,1
1,2019,7105,249699,1
1,2019,7106,951618,1
1,2019,7107,40972,1
1,2019,7108,2208830,1
1,2019,7109,6382,1
1,2019,7110,8605468,1
1,2019,7111,459222,1
1,2019,7112,,1
1,2019,7113,503134,1
1,2019,7117,3047,1
1,2019,7118,353999,1
1,2019,7119,3335,1
1,2019,7120,105223,1
1,2019,7121,-1800,1
1,2019,7122,-547,1
1,2019,7123,-2227,1
1,2019,7124,,1
1,2019,7125,-4491444,1
1,2019,7126,-193377,1
1,2019,7127,324429,1
1,2019,7128,10814298,1
1,2019,7130,,1
1,2019,7131,,1
1,2019,7132,123713,1
1,2019,7133,547142,1
1,2019,7134,,1
1,2019,7135,608258,1
1,2019,7136,-40829,1
1,2019,7138,,1
1,2019,7139,-427992,1
1,2019,7141,,1
1,2019,7142,231768,1
1,2019,7144,,1
1,2019,7145,945079,1
1,2019,7147,,1
1,2019,7148,,1
1,2019,7154,67,1
1,2019,7155,342,1
1,2019,7156,317,1
1,2019,7157,25,1
1,2019,7158,,1
1,2019,7159,5,1
1,2019,7161,,1
1,2019,7162,44,1
1,2019,7163,4,1
1,2019,7164,4,1
1,2019,7166,,1
1,2019,7167,1,1
1,2019,7168,39984,1
1,2019,7175,22,1
1,2019,7176,112,1
1,2019,7177,24,1
1,2019,7178,8,1
1,2019,7179,,1
1,2019,7180,32,1
1,2019,7181,2,1
1,2019,7183,,1
1,2019,7184,15,1
1,2019,7185,2,1
1,2019,7186,2,1
1,2019,7188,,1
1,2019,7189,1,1
1,2019,7190,1,1
1,2019,7191,,1
1,2019,7192,,1
1,2019,7193,,1
1,2019,7194,,1
1,2019,7195,1,1
1,2019,7196,,1
1,2019,204,3259279,1
1,2019,8031,,1
1,2019,8029,,1
1,2019,8028,,1
1,2019,8027,,1
1,2019,8025,,1
1,2019,8024,,1
1,2019,8023,,1
1,2019,8022,,1
1,2019,8019,,1
1,2019,8018,,1
1,2019,8017,,1
1,2019,8016,,1
1,2019,8015,,1
1,2019,8014,-24,1
1,2019,8013,,1
1,2019,8011,,1
1,2019,8010,,1
1,2019,8009,,1
1,2019,8007,,1
1,2019,8006,,1
1,2019,8005,,1
1,2019,8004,,1
1,2019,8001,,1
1,2019,8102,-9553,1
1,2019,8101,-221897,1
1,2019,8100,-231450,1
1,2019,8084,2,1
1,2019,8083,2,1
1,2019,8082,3,1
1,2019,8081,2,1
1,2019,8080,2,1
1,2019,8079,2,1
1,2019,8078,2,1
1,2019,8077,2,1
1,2019,8076,3,1
1,2019,8075,2,1
1,2019,8074,2,1
1,2019,8073,1,1
1,2019,8072,112,1
1,2019,8071,80,1
1,2019,8070,91,1
1,2019,8069,589,1
1,2019,8068,247,1
1,2019,8067,271,1
1,2019,8066,1155400,1
1,2019,8065,547142,1
1,2019,8064,566360,1
1,2019,8063,-4684821,1
1,2019,8062,11279902,1
1,2019,8061,,1
1,2019,8060,,1
1,2019,8059,,1
1,2019,8058,,1
1,2019,8057,,1
1,2019,8056,,1
1,2019,8055,,1
1,2019,8054,,1
1,2019,8053,,1
1,2019,8052,,1
1,2019,8051,,1
1,2019,8050,,1
1,2019,8049,,1
1,2019,8047,,1
1,2019,8046,,1
1,2019,8045,,1
1,2019,8043,,1
1,2019,8042,,1
1,2019,8041,,1
1,2019,8040,,1
1,2019,8037,,1
1,2019,8036,,1
1,2019,8035,,1
1,2019,8034,,1
1,2019,7420,,1
1,2019,2162,,1
1,2019,2161,,1
1,2019,2158,,1
1,2019,2157,12,1
1,2019,2156,,1
1,2019,2155,3,1
1,2019,2153,,1
1,2019,2152,,1
1,2019,2151,,1
1,2019,2148,0.4,1
1,2019,2147,0.05,1
1,2019,2146,1,1
1,2019,2145,,1
1,2019,2143,1.63,1
1,2019,7415,3,1
1,2019,7414,,1
1,2019,7413,1,1
1,2019,7412,21,1
1,2019,7411,,1
1,2019,7410,-12927,1
1,2019,7325,,1
1,2019,7324,,1
1,2019,7323,,1
1,2019,7322,,1
1,2019,7321,,1
1,2019,7320,,1
1,2019,7318,,1
1,2019,7317,,1
1,2019,7316,,1
1,2019,7315,,1
1,2019,7314,,1
1,2019,7313,,1
1,2019,7311,,1
1,2019,7310,31896,1
1,2019,7285,,1
1,2019,7282,4,1
1,2019,7274,3,1
1,2019,7271,3,1
1,2019,7419,1,1
1,2019,7418,1,1
1,2019,7417,,1
1,2019,7416,,1
1,2019,7269,-302390,1
1,2019,7268,8,1
1,2019,7267,112,1
1,2019,7197,1,1
1,2019,7199,,1
1,2019,7200,,1
1,2019,7201,,1
1,2019,7202,,1
1,2019,7203,,1
1,2019,7204,,1
1,2019,7205,2,1
1,2019,7206,3,1
1,2019,7207,3,1
1,2019,7208,,1
1,2019,7209,,1
1,2019,2142,0.44,1
1,2019,2141,0.12,1
1,2019,2138,14.29,1
1,2019,2135,3.18,1
1,2019,7533,3,1
1,2019,7534,3,1
1,2019,7535,,1
1,2019,7536,22,1
1,2019,7537,123,1
1,2019,7538,,1
1,2019,7539,,1
1,2019,7540,,1
1,2019,7541,,1
1,2019,7542,,1
1,2019,7543,,1
1,2019,7544,,1
