Month,years.effective,sales.tax.rate,city,year,local.sales.tax.revenue,County,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif
September,2004-2020,0.1,East Grand Forks,2004,-,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
October,2004-2020,0.1,East Grand Forks,2004,-,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
November,2004-2020,0.1,East Grand Forks,2004,-,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
December,2004-2020,0.1,East Grand Forks,2004,-,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
Total,2004-2020,0.1,East Grand Forks,2004,-,Polk,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest,NW
January,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
February,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
March,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
April,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
May,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
June,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
July,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
August,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
September,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
October,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
November,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
December,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
Total,2004-2020,0.05,Elk River,2004,-,Sherburne,141,D,Entirely urban,EDR 7W- Central,Central,EC
January,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,Excelsior,2004,-,Hennepin,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
