Month,years.effective,sales.tax.rate,city,year,local.sales.tax.revenue,County,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif
September,2004-2020,0.05,Spicer,2011,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
October,2004-2020,0.05,Spicer,2011,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
November,2004-2020,0.05,Spicer,2011,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
December,2004-2020,0.05,Spicer,2011,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,2004-2020,0.05,Spicer,2011,-,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
January,2004-2020,0.05,St. Cloud Area,2011,832243,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
February,2004-2020,0.05,St. Cloud Area,2011,574703,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
March,2004-2020,0.05,St. Cloud Area,2011,599372,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
April,2004-2020,0.05,St. Cloud Area,2011,643905,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
May,2004-2020,0.05,St. Cloud Area,2011,668437,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
June,2004-2020,0.05,St. Cloud Area,2011,701012,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
July,2004-2020,0.05,St. Cloud Area,2011,600313,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
August,2004-2020,0.05,St. Cloud Area,2011,662427,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
September,2004-2020,0.05,St. Cloud Area,2011,777405,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
October,2004-2020,0.05,St. Cloud Area,2011,727532,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
November,2004-2020,0.05,St. Cloud Area,2011,669874,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
December,2004-2020,0.05,St. Cloud Area,2011,667506,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
Total,2004-2020,0.05,St. Cloud Area,2011,8124729,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
January,2004-2020,0.05,St. Paul,2011,1374216,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,St. Paul,2011,1057124,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,St. Paul,2011,1134859,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,St. Paul,2011,1219101,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,St. Paul,2011,1149764,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,St. Paul,2011,1234276,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,St. Paul,2011,1079680,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,St. Paul,2011,1195339,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,St. Paul,2011,1345639,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,St. Paul,2011,1233211,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,St. Paul,2011,1361358,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,St. Paul,2011,1111783,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,St. Paul,2011,14496350,Ramsey,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Two Harbors,2011,19351,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.05,Two Harbors,2011,15466,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.05,Two Harbors,2011,16467,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.05,Two Harbors,2011,16826,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.05,Two Harbors,2011,14683,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.05,Two Harbors,2011,18625,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.05,Two Harbors,2011,20036,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,0.05,Two Harbors,2011,72685,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,0.05,Two Harbors,2011,23342,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,0.05,Two Harbors,2011,28449,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,0.05,Two Harbors,2011,17974,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,0.05,Two Harbors,2011,13729,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,0.05,Two Harbors,2011,277633,Lake,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
February,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
March,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
April,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
May,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
June,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
July,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
August,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
September,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
October,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
November,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
December,2004-2020,0.1,Virginia,2011,-,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
Total,2004-2020,0.1,Virginia,2011,0,St. Louis,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
January,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,2004-2020,0.15,Walker,2011,-,Cass,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
February,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
March,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
April,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
May,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
June,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
July,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
August,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
September,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
October,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
November,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
December,2004-2020,0.05,West St. Paul,2011,-,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
Total,2004-2020,0.05,West St. Paul,2011,0,Dakota,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
January,2004-2020,0.05,Willmar,2011,163456,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
February,2004-2020,0.05,Willmar,2011,122814,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
March,2004-2020,0.05,Willmar,2011,130198,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
April,2004-2020,0.05,Willmar,2011,124321,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
May,2004-2020,0.05,Willmar,2011,158871,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
June,2004-2020,0.05,Willmar,2011,143486,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
July,2004-2020,0.05,Willmar,2011,143709,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
August,2004-2020,0.05,Willmar,2011,148326,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
September,2004-2020,0.05,Willmar,2011,156374,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
October,2004-2020,0.05,Willmar,2011,166025,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
November,2004-2020,0.05,Willmar,2011,157192,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
December,2004-2020,0.05,Willmar,2011,164067,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
Total,2004-2020,0.05,Willmar,2011,1778839,Kandiyohi,067,B,Town/rural mix,EDR 6E- Southwest Central,Central,SW
January,2004-2020,0.05,Worthington,2011,79250,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
February,2004-2020,0.05,Worthington,2011,52194,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
March,2004-2020,0.05,Worthington,2011,49450,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
April,2004-2020,0.05,Worthington,2011,64221,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
May,2004-2020,0.05,Worthington,2011,56453,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
June,2004-2020,0.05,Worthington,2011,65284,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
July,2004-2020,0.05,Worthington,2011,54940,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
August,2004-2020,0.05,Worthington,2011,71466,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
September,2004-2020,0.05,Worthington,2011,69219,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
October,2004-2020,0.05,Worthington,2011,66078,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
November,2004-2020,0.05,Worthington,2011,70251,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
December,2004-2020,0.05,Worthington,2011,62587,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
Total,2004-2020,0.05,Worthington,2011,761393,Nobles,105,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW
January,2004-2020,0.05,Albert Lea,2012,119752,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Albert Lea,2012,97970,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Albert Lea,2012,95332,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Albert Lea,2012,104735,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Albert Lea,2012,97401,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Albert Lea,2012,109792,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Albert Lea,2012,107744,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Albert Lea,2012,122704,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Albert Lea,2012,110687,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Albert Lea,2012,110105,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Albert Lea,2012,102624,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Albert Lea,2012,97600,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Albert Lea,2012,1276446,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Austin,2012,148602,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Austin,2012,114331,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Austin,2012,106109,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Austin,2012,120869,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Austin,2012,115648,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Austin,2012,122156,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Austin,2012,116467,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Austin,2012,137340,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Austin,2012,119907,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Austin,2012,128079,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Austin,2012,118747,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Austin,2012,126380,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Austin,2012,1474635,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
February,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
March,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
April,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
May,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
June,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
July,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
August,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
September,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
October,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
November,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
December,2004-2020,0.05,Avon,2012,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
Total,2004-2020,0.05,Avon,2012,0,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
January,2004-2020,0.05,Baxter,2012,176015,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,2004-2020,0.05,Baxter,2012,115318,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,2004-2020,0.05,Baxter,2012,119654,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,2004-2020,0.05,Baxter,2012,138232,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,2004-2020,0.05,Baxter,2012,145277,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,2004-2020,0.05,Baxter,2012,143526,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,2004-2020,0.05,Baxter,2012,176621,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,2004-2020,0.05,Baxter,2012,220436,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,2004-2020,0.05,Baxter,2012,208300,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,2004-2020,0.05,Baxter,2012,164972,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,2004-2020,0.05,Baxter,2012,157381,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,2004-2020,0.05,Baxter,2012,162903,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,2004-2020,0.05,Baxter,2012,1928635,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,2004-2020,0.05,Bemidji,2012,187431,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
February,2004-2020,0.05,Bemidji,2012,127167,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
March,2004-2020,0.05,Bemidji,2012,135183,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
April,2004-2020,0.05,Bemidji,2012,147967,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
May,2004-2020,0.05,Bemidji,2012,149375,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
June,2004-2020,0.05,Bemidji,2012,149102,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
July,2004-2020,0.05,Bemidji,2012,158738,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
August,2004-2020,0.05,Bemidji,2012,197312,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
September,2004-2020,0.05,Bemidji,2012,170074,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
October,2004-2020,0.05,Bemidji,2012,165557,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
November,2004-2020,0.05,Bemidji,2012,155010,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
December,2004-2020,0.05,Bemidji,2012,147406,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
Total,2004-2020,0.05,Bemidji,2012,1890322,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
January,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Blue Earth,2012,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Blue Earth,2012,0,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Brainerd,2012,75293,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,2004-2020,0.05,Brainerd,2012,58651,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,2004-2020,0.05,Brainerd,2012,56953,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,2004-2020,0.05,Brainerd,2012,76806,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,2004-2020,0.05,Brainerd,2012,65875,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,2004-2020,0.05,Brainerd,2012,72425,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,2004-2020,0.05,Brainerd,2012,72022,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,2004-2020,0.05,Brainerd,2012,79053,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,2004-2020,0.05,Brainerd,2012,71738,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,2004-2020,0.05,Brainerd,2012,76549,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,2004-2020,0.05,Brainerd,2012,67651,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,2004-2020,0.05,Brainerd,2012,64020,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,2004-2020,0.05,Brainerd,2012,837036,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
February,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
March,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
April,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
May,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
June,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
July,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
August,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
September,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
October,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
November,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
December,2004-2020,0.05,Cambridge,2012,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
Total,2004-2020,0.05,Cambridge,2012,0,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
January,2004-2020,0.05,Clearwater,2012,15459,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
February,2004-2020,0.05,Clearwater,2012,11953,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
March,2004-2020,0.05,Clearwater,2012,12464,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
April,2004-2020,0.05,Clearwater,2012,13610,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
May,2004-2020,0.05,Clearwater,2012,13790,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
June,2004-2020,0.05,Clearwater,2012,15800,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
July,2004-2020,0.05,Clearwater,2012,13375,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
August,2004-2020,0.05,Clearwater,2012,19953,Wright,171,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
